Table-16: Deposit Amount Distributed by District and Thana ,,,,,,,,,,,,,,,,,,,,,,,,,
All Banks,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEDULED BANKS,,,,,,,,,,,,,,,,,,,,,,,
,,Deposit Amount in Crore Taka,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024
District,Thana,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1*ST QUARTER
DINAJPUR,BIRAMPUR,381.51,410.72,379.83,375.83,389.45,393.93,409.54,415.77,424.57,443.93,455.70,492.14,490.77,526.33,528.26,522.19,522.75,520.79,509.51,490.15,525.88,520.48,531.19,514.29
,BIRGANJ,161.01,167.45,177.79,188.57,193.34,220.61,223.66,230.71,229.38,251.36,253.51,258.07,276.37,287.44,298.25,306.76,312.06,345.81,353.62,341.71,386.16,401.88,419.29,447.52
,BIROL,136.81,152.84,150.82,147.82,148.13,157.45,158.35,154.55,160.47,177.76,165.20,181.18,174.90,182.50,178.18,186.36,187.33,207.15,208.80,209.70,212.15,216.98,213.35,228.25
,BOCHAGANJ,224.73,268.05,238.55,236.38,214.31,273.93,250.73,268.00,278.77,292.57,284.57,323.02,344.98,350.73,355.31,353.36,356.16,376.73,304.49,289.08,307.82,341.17,322.36,346.82
,CHIRIRBANDAR,172.51,198.43,170.76,169.80,171.26,191.26,186.56,198.07,201.83,231.54,208.00,244.37,265.37,293.68,294.91,306.40,295.68,317.57,289.75,303.88,326.82,320.39,324.36,312.47
,FULBARI,625.85,597.26,620.69,630.49,629.37,619.76,662.69,714.79,632.22,600.71,603.30,635.50,673.84,700.03,744.69,730.30,863.97,898.87,920.82,860.74,869.67,1053.65,828.45,825.12
,GHORAGHAT,88.21,96.52,91.34,85.55,88.11,91.48,93.19,90.35,90.89,96.64,74.97,102.66,98.55,109.88,107.99,103.42,105.02,110.73,113.74,107.37,111.71,117.76,118.24,134.36
,HAKIMPUR,99.45,110.68,104.00,114.00,104.45,135.27,142.03,158.43,164.19,164.88,165.74,197.45,206.11,210.66,206.02,217.86,218.79,232.12,213.94,250.90,224.54,240.62,240.40,218.73
,KAHAROLE,83.95,97.77,88.73,92.32,91.83,97.70,104.89,101.63,123.57,134.34,91.97,116.75,114.09,123.91,125.20,127.47,129.65,135.33,133.21,134.91,147.72,141.78,143.65,154.50
,KHANSHAMA,53.33,60.50,56.08,54.65,54.92,62.81,58.38,60.30,56.86,67.49,43.90,68.45,64.96,69.46,67.22,67.65,69.03,78.06,72.94,72.10,81.55,80.90,78.57,79.12
,KOTWALI,2813.72,3035.91,2874.74,3012.22,3001.40,3200.01,3354.86,3526.23,3566.75,3752.87,3887.10,3907.96,3888.14,4013.42,4091.32,4282.95,4349.34,4444.52,4492.18,4597.47,4745.34,4904.55,5065.99,5109.09
,NAWABGANJ,101.24,114.17,107.17,102.16,105.47,113.57,120.77,118.35,122.96,138.01,121.24,134.19,134.30,158.95,158.45,155.12,157.11,170.77,167.87,156.87,184.00,182.83,173.13,183.73
,PARBOTIPUR,434.72,441.21,444.21,436.11,424.33,455.85,471.62,505.66,506.74,524.37,453.10,560.91,526.05,612.54,616.02,627.46,598.23,616.70,587.69,549.01,567.42,568.66,570.71,545.72
FARIDPUR Total,,5215.04,5757.04,5724.77,5949.67,5925.57,6572.06,6649.82,6992.62,7056.67,7711.96,7984.52,8366.74,8401.35,8844.95,9009.83,9267.57,9205.12,9617.24,9878.67,9760.01,10108.72,10333.10,10742.41,10798.98
FARIDPUR,ALFADANGA,174.42,198.25,196.17,191.33,186.07,200.12,201.80,211.04,202.03,216.62,227.04,233.70,232.32,243.74,240.43,253.60,249.43,268.55,275.96,281.88,287.57,287.28,295.03,295.00
,BHANGA,649.84,730.93,772.02,811.79,827.42,884.17,925.60,1002.60,1052.60,1106.58,1174.12,1241.04,1214.96,1310.45,1346.89,1413.43,1400.79,1472.35,1501.85,1477.21,1552.85,1582.34,1661.55,1664.87
,BOALMARI,352.16,383.60,391.96,393.10,389.79,447.21,436.43,471.10,473.04,511.52,524.34,561.98,563.29,588.80,582.04,636.96,610.16,651.69,649.25,653.88,671.00,693.76,718.39,730.67
,CHARBHADRASAN,249.71,261.80,283.02,283.82,285.74,300.28,315.47,329.57,332.23,351.41,383.14,402.70,404.26,418.86,436.82,451.63,434.80,461.87,502.03,487.62,490.01,512.25,524.43,519.41
,KOTWALI_FARIDPUR,3020.48,3326.78,3223.87,3426.89,3388.36,3830.63,3843.89,4020.93,4047.25,4497.34,4595.94,4787.15,4829.37,5078.73,5187.12,5241.83,5260.08,5433.03,5570.71,5479.58,5680.66,5774.32,6018.44,6043.42
,MADHUKHALI,222.38,250.83,246.51,236.99,231.42,252.88,252.68,268.74,263.08,289.30,297.29,311.09,311.44,325.48,334.26,348.64,337.12,359.01,380.03,383.11,389.15,399.79,413.15,426.37
,NAGARKANDA,152.37,165.44,168.86,165.82,168.13,178.68,177.98,183.87,186.33,202.82,210.10,223.55,221.02,232.13,229.13,241.02,238.11,266.35,267.29,263.71,292.78,297.60,299.84,301.61
,SADARPUR,357.11,396.41,408.22,402.27,411.30,434.28,456.68,459.77,457.14,486.76,523.27,548.12,564.12,583.18,596.86,620.85,613.48,638.86,665.44,667.03,664.76,709.06,731.80,734.66
,SALDA,36.57,42.99,34.14,37.66,37.32,43.79,39.29,45.01,42.96,49.61,49.28,57.40,60.56,63.59,56.28,59.60,61.15,65.53,66.11,65.98,79.95,76.72,79.77,82.97
FENI Total,,8549.39,8863.59,8973.09,9286.91,9345.28,9681.10,10029.12,10615.40,10531.23,11075.25,11866.50,12490.22,12527.43,13022.37,13283.93,13702.10,13760.31,14511.60,14665.92,14174.87,14988.74,15645.40,15880.14,16002.68
FENI,CHHAGALNAIYA,1016.39,1057.31,1086.48,1123.17,1123.50,1146.01,1203.65,1285.01,1277.59,1326.54,1440.44,1515.09,1525.01,1575.79,1625.18,1688.21,1702.05,1755.63,1810.23,1725.16,1849.89,1951.35,1961.98,2007.01
,DAGANBHUIYAN,1193.61,1226.94,1236.02,1281.60,1300.67,1334.13,1377.22,1459.55,1452.93,1515.31,1646.76,1747.14,1755.09,1789.63,1843.58,1877.46,1882.72,1948.79,1975.45,1918.34,1984.48,2041.67,2116.06,2131.03
,FENI SADAR,5169.82,5367.00,5390.40,5590.10,5618.35,5849.22,6034.75,6365.82,6311.95,6652.84,7067.97,7423.50,7430.15,7770.48,7881.20,8141.76,8131.24,8581.48,8659.10,8422.97,8950.01,9340.44,9433.96,9474.68
,FULGAZI,241.63,253.00,255.12,258.68,260.24,270.68,280.79,296.85,299.79,323.19,353.76,372.56,376.93,396.65,419.59,434.19,438.35,482.28,476.88,458.66,480.74,507.44,525.54,530.89
,PARSHURAM,261.25,276.98,289.70,297.20,298.20,311.57,330.49,348.76,353.65,373.23,410.49,432.75,437.46,457.41,479.80,496.39,491.63,527.46,549.53,510.34,533.67,556.81,565.38,569.42
,SONAGAZI,666.69,682.36,715.38,736.17,744.34,769.49,802.22,859.41,835.32,884.14,947.08,999.18,1002.79,1032.41,1034.57,1064.08,1114.31,1215.98,1194.74,1139.40,1189.95,1247.68,1277.21,1289.64
GAIBANDAH Total,,2017.26,2234.92,2130.09,2210.94,2225.28,2459.73,2484.63,2592.14,2539.64,2735.03,2660.68,2932.28,2855.62,3031.67,3069.09,3145.55,3049.11,3294.25,3322.11,3289.69,3427.89,3559.60,3618.88,3728.56
GAIBANDAH,FULCHHARI,47.77,54.57,55.30,56.79,54.04,63.35,61.95,62.21,58.07,68.83,46.39,67.87,70.66,82.33,76.21,79.68,86.92,92.47,88.91,88.26,93.37,98.36,96.80,92.96
,GAIBANDAH SADAR,793.93,886.18,846.84,870.87,902.66,965.86,978.95,1037.12,1026.97,1088.52,1042.74,1197.65,1184.35,1209.38,1234.50,1259.25,1216.57,1287.40,1275.24,1277.49,1329.79,1357.38,1417.12,1428.10
,GOBINDAGANJ,584.56,624.10,606.51,629.01,631.92,707.57,742.83,768.74,726.35,785.60,835.14,836.66,805.49,819.12,845.21,852.71,811.70,858.13,893.31,870.65,903.69,933.67,929.17,972.03
,PALASHBARI,117.56,134.75,120.07,129.98,132.96,153.93,153.04,157.11,161.12,180.78,147.16,180.77,168.79,185.38,195.96,202.18,196.06,217.67,213.28,207.99,212.77,246.82,262.78,298.88
,SADULLAPUR,119.33,136.40,126.05,135.75,132.70,152.34,144.60,156.24,145.91,160.06,156.14,174.31,166.77,176.55,183.23,191.22,183.56,212.67,213.77,215.16,230.40,251.98,242.05,247.45
,SAGHATTA,151.94,171.19,159.62,164.22,153.29,171.69,159.56,165.74,165.62,177.89,171.94,183.62,179.30,191.31,189.84,195.48,201.49,217.54,217.71,207.26,226.21,231.82,217.79,223.10
,SUNDARGANJ,202.17,227.74,215.70,224.32,217.71,244.98,243.70,244.98,255.59,273.34,261.18,291.40,280.27,367.59,344.14,365.03,352.81,408.37,419.89,422.89,431.65,439.56,453.17,466.03
GAZIPUR Total,,18156.08,18866.27,19177.58,19644.75,19584.65,20762.87,21356.10,22601.80,22222.82,22954.81,23887.76,25137.40,25236.97,26928.54,27755.52,28658.55,28532.76,30035.32,30232.86,29673.37,30672.83,31213.49,31711.54,32293.50
GAZIPUR,BASON,857.90,881.87,912.09,944.11,945.06,1000.89,1002.37,1019.98,1105.10,1114.10,1156.70,1181.88,1221.37,1237.14,1002.39,1050.48,991.44,1027.11,1233.12,1120.50,1142.34,1264.38,1298.08,1298.75
,GACHA,705.44,725.33,764.05,790.56,797.89,818.93,861.19,865.87,856.33,872.62,875.50,904.81,879.26,860.23,831.83,857.08,882.72,896.61,941.81,918.51,965.60,949.30,987.93,968.84
,GAZIPUR SADAR,184.24,197.55,218.13,237.25,240.52,256.36,288.01,310.51,307.70,319.66,358.38,385.19,399.73,428.84,420.03,449.06,458.40,491.83,534.80,507.39,551.93,552.35,563.56,566.46
,JOYDEBPUR (GAZIPUR)/,6632.75,6800.54,6820.41,6924.60,6862.09,7363.95,7541.40,8201.98,7843.79,8268.18,8326.08,8955.38,8993.21,10140.96,10800.22,10790.75,10612.03,11247.77,10974.65,10983.92,11228.62,11042.26,11141.02,11185.78
,KALIAKOIR,1645.04,1716.23,1725.83,1765.91,1753.12,1871.01,1903.33,2011.14,1962.62,2022.49,2146.64,2252.24,2292.63,2411.35,2531.04,2613.16,2709.82,2826.88,2809.43,2655.76,2718.97,2838.13,2777.17,3011.03
,KALIGANJ,621.97,640.24,650.41,680.02,670.04,716.33,722.30,762.54,798.89,854.91,922.09,969.71,999.00,1097.24,1099.66,1187.53,1231.16,1255.87,1218.44,1206.45,1178.22,1245.06,1295.93,1324.46
,KAPASIA,806.15,872.49,876.88,904.65,918.26,1014.11,1014.87,1102.57,1081.23,1141.39,1232.43,1287.87,1307.73,1353.61,1393.74,1482.01,1454.25,1534.72,1583.01,1550.08,1613.97,1739.98,1789.98,1802.41
,KASHIMPUR,174.20,182.68,179.45,197.40,199.78,195.67,198.97,212.76,215.37,229.02,234.97,261.92,264.15,260.80,280.70,309.62,311.24,317.95,334.63,304.86,304.44,307.63,287.56,286.51
,KONABARI,1103.02,1137.01,1162.95,1189.08,1164.52,1202.74,1236.27,1253.54,1232.87,1269.30,1322.86,1385.41,1352.82,1401.02,1368.42,1495.48,1478.90,1588.96,1551.93,1552.87,1554.06,1582.29,1616.10,1643.74
,PUBAIL,73.00,77.42,78.47,78.62,80.58,86.06,88.59,93.17,86.86,90.08,91.14,98.19,92.07,97.88,100.35,108.30,111.03,119.40,119.84,116.25,121.85,119.11,121.19,124.72
,SREEPUR,1876.72,2015.67,2024.19,2120.63,2127.22,2235.47,2290.75,2385.50,2341.59,2392.41,2617.05,2628.13,2697.15,2773.80,2911.99,2971.05,2945.08,3195.67,3181.64,3119.86,3354.24,3503.32,3568.36,3565.42
,TONGI EAST,2184.73,2260.08,2325.46,2374.47,2399.08,2535.47,2649.36,2773.99,2795.24,2808.15,2929.51,3105.62,3158.30,3286.78,3390.46,3648.78,3673.87,3764.04,3978.03,3932.46,4137.72,4247.75,4410.69,4684.34
,TONGI WEST,1290.94,1359.17,1439.27,1437.45,1426.51,1465.87,1558.69,1608.25,1595.22,1572.50,1674.41,1721.05,1579.55,1578.89,1624.70,1695.26,1672.81,1768.51,1771.52,1704.45,1800.87,1821.90,1853.97,1831.03
GOPALGANJ Total,,2643.22,2964.72,2804.75,2895.11,2875.83,3205.64,3091.08,3304.76,3279.27,3640.07,3665.77,3779.13,3727.29,4052.84,3976.63,4100.45,4202.71,4301.27,4327.64,4452.32,4717.60,4743.82,4956.89,5048.37
GOPALGANJ,GOPALGANJ SADAR,1399.36,1564.42,1465.30,1505.37,1495.13,1638.15,1604.51,1735.15,1721.58,1920.55,1938.47,1988.20,1963.62,2126.27,2076.06,2108.42,2262.59,2208.66,2242.20,2262.61,2464.58,2435.44,2551.15,2621.03
,KASIANI,335.25,372.16,340.67,359.93,357.23,391.10,385.50,398.89,390.17,425.06,432.33,453.36,457.70,486.86,487.38,518.37,499.52,535.04,522.19,563.54,593.46,631.49,655.93,663.78
,KOTWALIPARA,324.74,367.07,356.93,347.81,361.29,397.17,379.98,395.42,391.39,438.23,411.07,425.64,420.75,472.19,457.39,476.24,471.59,491.10,480.38,510.41,516.62,507.86,526.09,534.42
,MUKSUDPUR,328.90,365.19,352.62,370.53,368.83,411.97,392.95,419.12,428.45,476.21,487.50,509.45,492.42,519.25,523.63,560.19,533.90,589.33,597.88,608.99,633.36,653.14,691.80,690.61
,TUNGIPARA,254.96,295.88,289.24,311.46,293.35,367.25,328.14,356.18,347.67,380.02,396.40,402.49,392.79,448.27,432.17,437.23,435.11,477.14,485.00,506.78,509.58,515.90,531.92,538.54
HABIGANJ Total,,3705.14,3908.09,3998.21,4039.73,4059.85,4258.47,4366.85,4533.76,4523.94,4770.86,5073.14,5267.12,5329.27,5520.27,6071.66,6265.43,6319.17,6734.83,6444.92,6593.08,7025.17,7425.41,7567.49,7733.60
HABIGANJ,AJMIRIGANJ,91.66,101.72,103.30,101.26,102.21,116.54,111.63,113.74,112.21,127.86,132.30,133.76,130.01,147.71,153.51,150.51,148.76,162.61,171.35,171.23,181.57,182.86,180.23,179.50
,BAHUBAL,260.78,274.71,265.09,259.17,261.29,278.23,278.70,273.65,274.48,286.65,322.52,343.38,347.85,367.62,384.54,396.72,401.96,438.18,393.19,431.90,472.30,496.54,503.70,527.61
,BANICHANG,162.23,172.80,166.21,182.52,178.13,184.85,190.63,201.38,200.43,219.26,229.54,242.50,237.60,251.07,315.75,317.31,290.27,331.74,281.35,284.58,301.29,314.05,328.43,333.11
,CHUNARUGHAT,221.66,232.95,225.84,232.26,230.41,257.97,257.51,265.42,264.96,292.62,301.71,315.31,320.87,320.15,585.93,611.74,761.74,684.22,386.24,399.69,434.38,473.78,500.42,522.46
,HABIGANJ SADAR,1313.96,1385.76,1456.89,1435.11,1442.75,1513.92,1563.45,1622.42,1605.47,1704.15,1811.50,1840.45,1854.60,1940.80,2015.39,2061.62,2066.52,2202.77,2277.90,2355.59,2502.94,2660.78,2714.35,2795.80
,LAKHAI,60.71,66.81,65.14,66.77,64.26,74.26,69.60,72.03,72.60,79.04,78.97,82.59,82.10,88.48,90.94,97.18,97.80,103.97,110.10,108.73,116.92,122.74,120.32,117.86
,MADHABPUR,521.51,551.01,560.15,599.87,613.70,641.90,675.03,712.97,710.66,754.35,797.65,837.96,870.67,900.73,924.12,978.69,945.38,1096.26,1050.48,1050.80,1104.51,1165.76,1155.44,1152.64
,NABIGANJ,775.22,799.69,825.03,842.18,861.29,872.92,898.70,921.15,920.90,955.61,1022.53,1060.89,1059.02,1092.94,1147.47,1189.31,1142.70,1251.00,1274.01,1306.69,1396.03,1440.71,1522.61,1533.09
,SHAYESTAGANJ,297.42,322.64,330.58,320.59,305.82,317.88,321.60,351.01,362.22,351.32,376.42,410.28,426.55,410.77,454.01,462.35,464.04,464.07,500.30,483.85,515.23,568.18,541.98,571.53
JAMALPUR Total,,3095.64,3407.63,3255.32,3365.27,3286.87,3540.61,3525.90,3794.10,3744.02,3969.25,4169.41,4256.06,4427.85,4578.15,4770.44,4898.64,4907.42,5182.43,5225.30,5273.96,5741.52,6136.75,6252.05,6458.25
JAMALPUR,BAKSHIGANJ,171.72,193.16,176.49,183.19,176.81,186.41,184.37,190.90,190.80,207.90,205.98,207.44,214.39,222.89,228.45,244.54,251.73,263.85,266.29,262.31,286.82,302.24,322.61,326.57
,DEWANGANJ,122.60,144.22,132.84,125.71,117.84,134.62,129.54,131.88,122.09,134.35,137.87,145.88,149.90,164.24,153.87,160.67,151.30,172.56,168.16,165.91,184.21,177.13,179.99,185.16
,ISLAMPUR,187.92,221.29,208.27,206.26,186.22,212.13,207.71,217.94,207.75,232.29,233.27,251.68,255.31,264.88,258.00,283.32,273.63,305.32,304.14,309.71,335.55,351.00,363.62,369.26
,JAMALPUR SADAR,1451.79,1635.12,1522.15,1648.26,1615.02,1779.50,1768.15,1891.57,1874.73,1993.34,2036.58,2115.48,2167.06,2321.28,2370.23,2415.42,2435.65,2602.07,2559.91,2598.92,2784.19,3015.30,3045.08,3130.67
,MADARGANJ,195.17,225.47,212.84,218.66,195.71,235.56,221.58,252.79,239.11,263.59,294.18,315.58,330.03,360.92,379.25,398.84,380.92,423.75,410.49,419.19,512.68,559.77,541.67,568.86
,MELANDAH,167.67,183.19,178.32,181.24,174.87,214.50,195.73,225.88,226.59,244.44,262.55,255.57,257.39,271.10,276.60,299.32,307.06,325.03,324.76,324.07,349.80,365.52,390.64,388.37
,SARISHABARI,798.77,805.16,824.41,801.96,820.40,777.90,818.82,883.14,882.95,893.34,998.98,964.43,1053.76,972.83,1104.04,1096.52,1107.14,1089.85,1191.55,1193.86,1288.27,1365.77,1408.44,1489.36
JASHORE Total,,8413.93,8766.58,8553.36,9175.28,9021.01,9453.41,9414.33,10024.17,10209.25,10667.59,10822.27,11563.58,11525.73,11901.68,11970.51,12312.70,12262.89,12767.52,12423.88,12729.37,13674.51,13317.28,14012.94,14431.28
JASHORE,ABHOYNAGAR,973.20,841.99,786.49,1014.83,986.24,900.83,845.10,1031.32,1190.25,970.01,1031.16,1383.43,1285.00,1205.29,1119.64,1350.95,1323.79,1339.06,1094.38,1319.37,1716.30,1388.95,1534.28,1934.53
,BAGERPARA,234.35,253.75,244.63,256.88,254.05,267.95,264.20,279.30,283.51,289.93,298.18,331.60,332.95,332.70,338.45,348.34,344.16,357.08,348.56,360.04,351.49,347.71,358.81,361.43
,BENAPOLE,708.68,634.93,601.45,723.60,715.76,650.95,643.87,662.55,675.20,688.36,709.85,731.14,762.30,778.30,750.30,744.21,739.51,790.28,798.82,836.77,867.28,836.99,914.42,899.42
,CHOWGACHA,327.80,362.07,360.47,375.21,378.71,396.95,397.43,416.80,415.60,439.70,451.08,484.82,497.24,523.19,531.15,545.80,543.10,574.07,574.49,544.58,559.90,549.77,574.93,586.18
,JHIKARGACHA,634.23,666.42,668.01,676.20,668.60,716.24,713.52,752.08,758.61,782.58,820.70,869.28,858.84,888.98,887.47,905.44,898.32,933.38,927.08,901.77,921.54,941.80,967.43,961.35
,KESHABPUR,369.75,390.41,377.04,400.02,405.68,420.52,420.19,441.08,448.64,465.43,474.34,494.70,506.34,513.39,509.50,525.08,524.15,548.95,540.32,538.90,550.62,569.81,589.21,613.46
,KOTWALI,4419.86,4820.37,4737.97,4919.55,4783.77,5211.62,5257.43,5536.97,5514.36,6047.97,6028.93,6229.26,6240.31,6574.54,6760.26,6784.57,6752.28,7021.04,6926.86,6988.34,7458.74,7431.55,7779.94,7748.64
,MONIRAMPUR,374.23,390.18,375.80,391.06,406.33,430.43,424.61,435.46,458.78,488.00,480.93,487.45,489.71,515.13,503.02,502.27,538.68,563.65,567.34,585.68,596.45,592.93,615.60,618.02
,SARSHA,371.82,406.47,401.50,417.92,421.86,457.91,447.99,468.63,464.31,495.60,527.10,551.89,553.02,570.17,570.72,606.04,598.89,639.99,646.05,653.92,652.20,657.77,678.31,708.25
JAYPURHAT Total,,1303.81,1563.91,1431.04,1504.49,1481.47,1632.96,1560.18,1662.36,1578.62,1749.08,1887.26,1947.90,1937.18,2103.12,2158.53,2211.27,2091.56,2195.73,2209.22,2217.83,2263.18,2344.64,2525.97,2598.86
JAYPURHAT,AKKELPUR,158.31,171.97,171.31,174.74,178.56,189.98,181.50,187.62,187.49,199.52,236.69,216.79,216.44,229.43,260.80,256.85,276.79,269.71,261.31,258.62,264.93,276.56,288.49,292.80
,JAYPURHAT,824.93,1019.35,914.50,959.25,951.60,1053.05,1008.71,1073.74,1032.50,1136.96,1176.21,1248.88,1250.60,1326.37,1386.35,1441.53,1310.14,1386.02,1395.55,1420.03,1442.41,1493.66,1637.12,1703.98
,KALAI,90.97,108.39,98.83,110.77,104.09,115.20,110.42,126.05,105.53,115.03,143.24,154.84,152.07,168.04,166.85,162.11,168.11,179.14,179.93,170.98,178.69,196.12,204.49,211.17
,KHETLAL,60.24,68.20,66.65,66.10,65.97,69.67,65.93,63.00,66.57,76.33,71.12,79.90,81.69,85.89,91.57,88.15,91.40,93.03,98.92,92.93,99.18,101.77,102.01,107.60
,PANCH BIBI,169.36,195.99,179.75,193.62,181.25,205.05,193.63,211.94,186.53,221.24,260.00,247.49,236.38,293.40,252.95,262.62,245.11,267.82,273.50,275.27,277.97,276.54,293.86,283.31
JHALOKATHI Total,,1440.63,1574.31,1527.26,1551.83,1545.15,1678.97,1684.72,1738.36,1715.86,1910.04,1945.30,1971.49,1969.44,2126.28,2113.69,2151.49,2811.27,2868.22,2305.77,2328.70,2510.97,2554.07,2642.54,2744.59
JHALOKATHI,JHALOKATI SADAR,903.60,988.63,954.68,972.39,970.43,1059.67,1066.06,1105.16,1085.07,1233.52,1250.03,1259.35,1265.32,1357.76,1358.50,1373.27,1311.64,1425.90,1450.82,1464.18,1579.76,1614.09,1687.88,1780.83
,KATHALIA,134.28,143.20,143.02,144.49,144.24,153.18,147.06,153.74,150.30,160.31,157.69,161.82,158.15,170.72,172.68,177.18,175.98,191.85,196.10,196.44,207.69,207.71,216.41,213.16
,NALCHITY,187.42,204.99,196.94,193.87,190.42,202.53,203.44,210.17,207.84,221.99,225.21,233.79,231.21,244.99,242.48,252.24,251.26,270.41,265.79,269.90,288.53,292.88,297.72,306.97
,RAJAPUR,215.32,237.49,232.62,241.08,240.05,263.60,268.16,269.29,272.65,294.21,312.37,316.54,314.76,352.81,340.03,348.80,1072.39,980.07,393.06,398.18,434.99,439.38,440.54,443.63
JHENAIDAH Total,,2757.28,3051.83,2980.89,3107.76,3092.84,3318.39,3496.96,3561.01,3557.15,3910.31,4005.05,4135.00,4128.99,4161.90,4206.42,4282.89,4249.83,4601.07,4587.20,4511.17,4754.66,4830.94,5062.32,5123.96
JHENAIDAH,HARINAKUNDU,101.59,102.57,117.09,103.37,105.74,108.97,111.21,112.20,112.96,123.80,126.58,130.83,135.55,139.30,139.00,138.41,139.47,147.97,147.98,150.65,157.01,161.55,165.70,168.57
,JHENIDAH SADAR,1412.65,1600.49,1548.41,1654.64,1618.66,1766.13,1882.15,1866.79,1900.19,2136.05,2171.57,2181.48,2199.17,2119.49,2154.13,2187.09,2205.96,2354.22,2343.18,2305.65,2480.81,2510.00,2671.65,2746.93
,KALIGANJ,605.62,638.55,640.89,654.29,669.98,703.92,734.87,778.87,762.51,789.73,813.73,854.32,847.06,883.60,890.69,937.58,897.14,945.34,956.40,941.34,970.81,1000.79,1031.18,1020.93
,KOTCHANDPUR,228.29,246.84,245.90,252.31,250.41,265.42,271.98,279.51,274.35,290.24,300.94,320.68,314.85,339.66,341.40,346.24,341.89,375.57,384.18,360.98,387.81,381.80,400.23,380.25
,MOHESHPUR,145.06,159.50,143.94,160.61,169.68,172.53,188.28,192.11,185.54,219.39,232.37,258.46,252.34,279.87,274.20,253.44,253.60,283.27,281.19,279.91,301.62,313.97,325.94,334.00
,SAILKUPA,264.07,303.89,284.65,282.54,278.37,301.42,308.46,331.54,321.60,351.09,359.86,389.22,380.03,399.97,407.00,420.12,411.76,494.71,474.27,472.64,456.60,462.83,467.61,473.29
KHAGRACHARI Total,,694.31,826.93,758.75,774.68,756.55,841.68,809.23,848.52,854.97,963.22,957.35,984.20,1039.49,1156.49,1151.61,1144.52,1274.11,1280.28,1206.62,1188.59,1289.20,1293.38,1337.42,1317.77
KHAGRACHARI,DIGHINALA,57.81,66.56,63.37,60.85,61.84,67.59,64.54,64.98,60.51,69.94,68.34,71.06,70.64,74.19,72.02,76.55,71.51,78.24,79.60,79.77,80.48,79.68,78.89,81.71
,GUIMARA,,,0.49,2.82,4.74,9.26,6.29,7.29,7.01,10.69,14.46,17.63,17.42,21.53,20.42,20.03,20.61,24.80,24.50,25.78,26.02,28.36,29.55,29.98
,KHAGRACHARI SADAR,411.50,488.36,432.88,442.55,431.18,475.03,457.20,488.26,490.50,552.21,546.19,558.64,581.08,668.84,681.70,686.59,776.30,776.67,696.16,693.91,783.48,767.28,811.74,794.42
,LAKSHMICHARI,9.75,12.99,12.62,12.09,11.32,14.35,12.70,13.17,13.11,15.36,14.11,15.69,23.58,19.50,16.54,16.34,15.53,20.17,22.89,19.17,18.41,20.02,18.90,18.43
,MAHALCHARI,25.22,28.51,26.04,26.83,26.82,31.41,28.06,29.16,30.55,34.67,32.92,33.50,30.98,36.66,35.62,35.37,36.47,43.80,43.20,42.93,44.67,45.89,46.31,47.28
,MANIKCHARI,32.47,33.16,36.12,37.52,37.17,39.57,37.87,38.70,36.34,44.23,38.19,43.70,43.10,52.97,46.51,45.48,47.37,52.42,58.00,52.92,55.69,61.72,58.40,55.18
,MATIRANGA,62.13,69.46,65.03,65.65,62.63,71.66,67.54,68.87,66.86,71.95,70.14,71.69,66.01,77.84,85.62,75.02,72.69,87.15,81.09,82.47,85.04,87.97,90.63,88.43
,PANCHARI,34.43,40.07,36.32,38.40,35.91,40.80,40.35,40.99,40.06,43.69,44.59,44.77,44.81,52.05,48.48,49.91,50.50,55.90,56.29,55.47,59.30,57.48,59.86,59.75
,RAMGARH,61.01,87.81,85.89,87.96,84.93,92.01,94.68,97.09,110.02,120.49,128.42,127.52,161.88,152.91,144.69,139.22,183.12,141.15,144.88,136.17,136.11,144.99,143.16,142.59
KHULNA Total,,13417.93,13777.07,13582.14,14244.30,14328.82,15332.83,15493.95,16469.14,16583.46,17303.99,17370.85,18342.86,18089.89,18764.69,19040.18,19808.11,19822.04,21203.12,20950.60,21351.78,22630.23,22398.74,23005.53,22722.11
KHULNA,BATIAGHATA,164.90,196.46,191.13,198.83,181.36,199.24,229.63,205.78,198.20,210.09,207.89,219.36,212.91,226.02,288.81,276.37,327.09,338.89,284.91,286.28,309.65,320.82,320.02,335.36
,DACOPE,150.68,159.90,152.00,155.47,146.73,172.89,165.16,167.95,164.02,183.83,177.94,184.26,197.05,229.62,222.63,221.00,188.42,230.31,223.51,224.60,257.36,247.08,243.43,240.87
,DAULATPUR,957.20,977.51,976.82,1008.72,996.09,1033.08,1066.14,1079.38,1099.91,1144.83,1167.87,1277.35,1301.55,1329.67,1350.13,1359.80,1367.68,1467.15,1536.33,1510.05,1536.43,1581.81,1652.91,1612.60
