Table-16: Deposit Amount Distributed by District and Thana ,,,,,,,,,,,,,,,,,,,,,,,,,
All Banks,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEDULED BANKS,,,,,,,,,,,,,,,,,,,,,,,
,,Deposit Amount in Crore Taka,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024
District,Thana,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1*ST QUARTER
BHOLA Total,,2744.14,3172.97,3093.75,3235.15,3124.82,3358.10,3392.42,3577.43,3505.54,3758.52,3841.58,4076.23,3983.48,4093.54,4229.78,4225.37,4182.65,4513.42,4587.49,4441.86,4627.28,4773.67,4854.42,4880.28
BHOLA,BHOLA SADAR,1163.15,1374.09,1297.47,1401.75,1352.28,1470.02,1445.65,1588.03,1568.30,1746.81,1704.95,1832.47,1772.61,1866.38,1897.31,1875.02,1838.55,2017.54,1953.58,1907.72,2049.85,2076.51,2110.10,2157.14
,BURHANUDDIN,364.90,390.34,394.69,414.93,400.27,424.75,426.08,438.28,433.73,455.75,507.05,534.95,525.18,505.96,518.61,529.17,520.65,540.55,568.15,542.64,541.20,561.39,575.97,552.05
,CHAR SHASIVUSON,18.66,18.82,19.22,20.56,21.35,21.27,22.95,24.09,21.02,21.36,23.06,24.31,24.15,25.74,27.13,27.24,28.22,29.32,31.62,30.05,30.42,33.25,32.30,34.23
,CHARFESHION,514.19,588.99,590.37,604.45,586.28,616.69,666.56,704.82,695.00,716.68,752.81,824.24,794.41,798.45,845.46,851.13,834.56,886.88,933.68,913.65,903.01,949.53,984.08,967.04
,DAULATKHAN,225.26,269.20,250.55,249.91,243.39,257.17,272.53,280.87,263.27,276.10,313.24,307.18,325.86,323.45,355.54,361.57,368.86,395.99,432.17,406.93,430.27,455.03,447.90,461.28
,LALMOHAN,289.55,332.32,325.42,333.34,324.98,353.83,343.20,334.80,345.79,357.30,354.98,363.66,363.13,386.19,393.04,389.91,399.42,433.58,449.52,424.24,455.55,476.29,485.60,484.61
,MONPURA,38.49,53.50,63.97,59.15,54.20,71.84,58.93,49.87,42.41,45.57,45.24,45.74,41.35,44.68,47.24,46.39,48.68,49.37,58.59,56.67,59.28,61.84,55.05,59.04
,TAZUMUDDIN,129.94,145.71,152.06,151.05,142.07,142.54,156.51,156.66,136.03,138.96,140.25,143.67,136.79,142.70,145.45,144.95,143.72,160.19,160.18,159.95,157.70,159.83,163.42,164.89
BOGURA Total,,7694.25,8297.40,8226.96,8568.76,8470.17,9201.91,9333.79,9824.14,9798.25,10379.52,10935.60,11239.10,11275.56,11813.76,12000.22,12508.29,12399.11,13110.54,12949.60,12896.98,13597.56,13721.17,14145.89,14428.37
BOGURA,ADAMDIGHI,290.05,297.41,295.73,306.03,310.84,322.98,329.61,340.37,359.92,358.71,385.85,403.88,411.27,443.25,497.16,498.66,480.29,473.29,456.31,438.47,440.68,472.70,519.53,487.39
,DHUNAT,150.30,174.99,171.98,176.16,168.61,191.61,189.98,189.77,178.40,201.96,204.93,215.35,211.22,223.47,229.67,243.33,242.77,254.79,263.60,246.68,270.29,279.21,280.56,293.63
,DUPCHANCHIA,372.17,371.43,378.30,392.12,405.32,428.54,444.04,447.65,483.32,459.32,491.53,502.25,512.11,522.84,529.42,533.07,556.50,564.87,567.00,530.76,551.48,564.79,572.53,620.44
,GABTALI,170.44,185.54,182.50,189.10,186.57,199.85,205.20,206.99,197.49,216.53,219.27,230.22,231.51,243.82,249.39,261.24,259.24,282.98,288.52,277.78,298.31,302.70,306.65,303.49
,KAHALOO,137.26,147.70,147.53,156.15,148.56,162.40,159.46,159.03,160.77,168.64,174.56,174.81,177.46,188.02,195.39,193.34,191.14,202.10,207.75,197.30,208.36,211.22,225.78,224.41
,KOTWALI_BOGURA,4793.19,5214.69,5112.48,5375.87,5259.24,5756.34,5790.84,6176.98,6083.49,6518.13,6916.40,7046.27,7069.46,7412.01,7433.16,7860.73,7768.18,8385.11,8164.02,8253.93,8791.97,8811.36,9050.50,9309.91
,NANDIGRAM,139.40,158.45,150.55,157.53,156.68,165.92,167.06,173.17,177.51,190.23,192.35,199.24,197.58,218.58,217.50,222.38,223.77,238.89,231.83,245.51,265.09,260.99,256.45,248.43
,SARIAKANDI,115.88,127.27,134.35,133.09,129.71,151.73,147.25,147.19,153.27,170.97,168.71,172.02,163.28,176.32,181.27,189.74,187.16,202.49,196.39,193.11,200.20,201.58,211.43,225.60
,SHAHJAHANPUR,422.03,433.38,452.07,466.33,472.24,474.65,518.58,527.09,541.15,573.22,575.71,622.84,617.12,678.39,690.66,691.05,706.99,724.02,730.47,731.54,703.19,679.25,742.39,745.30
,SHERPUR,652.40,701.76,698.27,711.05,732.77,805.74,833.96,880.93,881.33,911.56,968.85,1008.87,1012.49,1007.92,1065.44,1082.41,1080.89,1044.48,1070.11,1009.89,1059.92,1101.88,1118.88,1135.41
,SHIBGANJ,313.11,334.16,348.41,345.79,343.71,372.96,372.63,386.63,389.00,408.65,434.16,448.84,459.53,476.26,479.80,490.19,462.20,479.40,490.63,491.72,510.35,536.35,555.07,532.16
,SONATOLA,138.02,150.60,154.79,159.53,155.94,169.18,175.19,188.34,192.61,201.61,203.30,214.50,212.53,222.89,231.35,242.14,239.95,258.10,282.96,280.29,297.71,299.13,306.14,302.19
BRAHMANBARIA Total,,9087.28,9560.62,9941.27,10301.59,10530.72,11121.43,11843.95,12239.06,12280.20,12700.81,13775.71,14386.36,14242.79,14615.81,15168.51,15314.26,15171.75,15727.79,15991.74,15302.80,15877.66,16333.86,16017.12,16341.84
BRAHMANBARIA,AKHAURA,595.65,638.57,655.09,688.94,691.20,734.91,759.43,805.35,799.19,832.01,918.48,959.93,968.67,1011.87,1056.58,1037.55,1046.48,1110.49,1124.74,1055.30,1102.87,1170.63,1217.21,1250.29
,ASHUGANJ,1126.28,1152.81,1192.53,1240.06,1247.64,1358.46,1643.81,1644.13,1665.00,1713.25,1668.25,1805.75,1709.20,1744.12,1684.93,1841.82,1680.79,1742.39,1830.73,1829.51,1799.49,1771.44,1795.50,2019.64
,BANCHARAMPUR,675.87,723.65,770.08,770.43,785.81,820.69,861.13,907.10,883.70,941.03,1044.99,1133.59,1070.95,1111.88,1183.39,1214.82,1179.79,1225.33,1241.14,1097.67,1164.84,1204.15,1226.99,1260.52
,BIJOYNAGAR,119.89,134.11,186.48,139.45,140.56,153.34,155.96,165.15,165.99,175.67,189.81,199.24,198.09,215.30,190.62,217.81,248.87,260.14,239.76,236.60,258.27,265.29,273.89,282.47
,BRAHMANBARIA SADAR,4559.91,4756.30,4994.28,5226.19,5400.58,5653.59,5952.66,6118.00,6207.61,6345.55,7004.59,7105.30,7158.43,7285.56,7681.91,7544.87,7448.72,7711.93,7853.66,7679.94,7922.99,8118.84,7640.21,7589.30
,KASBA,723.87,781.34,788.45,821.34,836.03,887.33,914.36,954.83,958.47,1001.94,1073.01,1144.95,1139.60,1160.01,1200.18,1222.79,1219.65,1275.89,1280.72,1200.79,1247.51,1305.25,1335.68,1349.69
,NABINAGAR,942.59,1001.14,999.85,1039.53,1061.97,1119.29,1166.96,1229.86,1193.88,1251.10,1405.57,1519.35,1487.14,1553.02,1620.94,1656.98,1742.81,1780.46,1768.47,1568.15,1690.14,1766.93,1778.79,1826.57
,NASIR NAGAR,138.90,151.27,144.60,146.20,143.20,159.67,159.56,165.41,158.03,171.64,180.59,194.39,196.68,209.34,210.46,226.70,241.95,239.57,264.10,256.90,272.59,289.01,283.41,279.89
,SARAIL,204.31,221.44,209.92,229.43,223.73,234.14,230.08,249.22,248.34,268.64,290.44,323.87,314.04,324.72,339.49,350.92,362.70,381.60,388.40,377.94,418.96,442.34,465.44,483.48
CHANDPUR Total,,7457.14,7988.53,8038.86,8347.06,8394.79,8809.05,9067.19,9568.11,9553.55,10030.69,10702.67,11361.89,11401.95,11803.60,12522.26,12870.64,12703.21,13373.30,13311.47,12623.16,13270.00,13824.59,14124.67,14169.12
CHANDPUR,CHANDPUR SADAR,2355.61,2546.74,2541.39,2625.04,2638.44,2779.78,2874.03,3030.83,3016.48,3186.28,3364.42,3532.92,3547.96,3715.95,3796.78,3941.67,3897.12,4116.96,4133.11,3986.26,4193.24,4340.72,4436.61,4438.84
,FARIDGANJ,967.78,1029.48,1041.63,1106.04,1089.45,1131.10,1169.75,1225.78,1222.78,1285.83,1388.11,1507.46,1527.21,1556.10,1572.68,1619.26,1644.44,1788.33,1700.09,1585.76,1644.29,1707.17,1732.76,1733.16
,HAIMCHAR,108.05,116.84,118.28,118.97,115.62,122.62,125.72,129.11,125.30,134.64,140.59,146.17,142.86,152.68,159.36,161.55,158.68,168.65,172.74,163.54,173.39,182.60,185.09,188.57
,HAJIGANJ,1618.03,1692.00,1711.80,1790.35,1808.31,1896.74,1932.46,2013.40,2035.00,2136.03,2260.36,2403.26,2392.93,2438.47,2861.57,2874.51,2545.75,2642.79,2633.91,2470.95,2567.03,2690.78,2744.43,2743.76
,KACHUA,780.85,821.37,847.12,873.73,902.27,921.26,974.37,1047.97,1039.45,1092.81,1190.18,1259.90,1269.00,1331.74,1373.49,1425.82,1426.91,1525.51,1591.82,1501.88,1573.69,1641.94,1672.44,1682.51
,MATLAB SOUTH,673.19,736.60,742.80,774.37,794.93,842.61,870.88,949.18,945.14,961.04,1058.14,1136.90,1154.20,1175.81,1281.54,1304.01,1511.77,1497.71,1424.41,1328.82,1432.10,1513.13,1565.62,1586.69
,MATLAB UTTAR,551.54,619.92,605.77,614.95,598.37,641.09,643.49,665.68,645.84,701.89,745.89,784.72,771.48,819.55,846.53,886.51,863.53,928.99,950.38,888.39,951.67,988.01,1018.01,1023.41
,SHAHRASTI,402.10,425.58,430.07,443.61,447.40,473.85,476.50,506.15,523.56,532.19,554.98,590.55,596.31,613.30,630.32,657.32,655.02,704.37,705.01,697.57,734.58,760.24,769.70,772.18
CHAPAINAWABGANJ Total,,2458.70,2668.00,2659.05,2678.45,2639.46,2818.94,2911.30,3019.09,2959.20,3103.37,3397.28,3498.13,3385.86,3546.33,3775.20,3919.92,3878.05,4168.37,4057.51,3959.30,4139.18,4351.71,4516.74,4384.69
CHAPAINAWABGANJ,BHOLAHAT,53.05,63.28,63.42,59.60,55.48,63.09,59.77,61.04,54.58,60.59,62.30,70.48,69.79,75.77,79.60,75.99,77.38,88.46,96.35,93.92,99.96,102.25,103.36,98.79
