district,year,deposits,growth_rate_%
COX'S BAZAR Total,2020,32143.61,12.913952299739861
COX'S BAZAR Total,2021,35588.630000000005,10.717588970249459
COX'S BAZAR Total,2022,34322.92,-3.5565010510379524
COX'S BAZAR Total,2023,24415.3,-28.865900686771408
COX'S BAZAR Total,2024,12142.79,-50.26565309457594
CUMILLA,2018,270.26,
CUMILLA,2019,303.97,12.473173980611275
CUMILLA,2020,347.63,14.363259532190664
CUMILLA,2021,418.15,20.285936196530784
CUMILLA,2022,440.64,5.378452708358239
CUMILLA,2023,340.06,-22.8258896151053
CUMILLA,2024,174.35,-48.72963594659766
CUMILLA Total,2018,66490.5,
CUMILLA Total,2019,75331.18000000001,13.296155089824868
CUMILLA Total,2020,86949.26000000001,15.422670931213345
CUMILLA Total,2021,99383.5,14.300570240620791
CUMILLA Total,2022,106943.74,7.607138005805791
CUMILLA Total,2023,77952.62,-27.108758306002766
CUMILLA Total,2024,40044.18,-48.630103773292035
DHAKA,2018,9347.22,
DHAKA,2019,10228.7,9.430397487167319
DHAKA,2020,11077.98,8.302912393559293
DHAKA,2021,12834.91,15.859660335187463
DHAKA,2022,14281.439999999999,11.270277703544473
DHAKA,2023,10181.19,-28.710340133768007
DHAKA,2024,5335.39,-47.59561505089287
DHAKA Total,2018,1640890.22,
DHAKA Total,2019,1838615.3399999999,12.049868881539183
DHAKA Total,2020,2062548.6,12.179451303827381
DHAKA Total,2021,2298762.8499999996,11.452542257670896
DHAKA Total,2022,2460427.02,7.032659763054738
DHAKA Total,2023,1801399.98,-26.785067577415887
DHAKA Total,2024,914399.74,-49.23949427378144
DINAJPUR,2018,1166.3799999999999,
DINAJPUR,2019,1219.24,4.5319707128037345
DINAJPUR,2020,1391.77,14.150618418030891
DINAJPUR,2021,1576.7800000000002,13.29314470063303
DINAJPUR,2022,1520.4499999999998,-3.572470477809231
DINAJPUR,2023,1051.67,-30.831661679108148
DINAJPUR,2024,514.29,-51.097777820038615
DINAJPUR Total,2018,16902.120000000003,
DINAJPUR Total,2019,18793.730000000003,11.191554668881775
DINAJPUR Total,2020,20907.4,11.246676418145828
DINAJPUR Total,2021,23398.66,11.915685355424376
DINAJPUR Total,2022,25187.579999999994,7.645395078179673
DINAJPUR Total,2023,18121.36,-28.054382358289264
DINAJPUR Total,2024,9099.73,-49.78450844748959
FARIDPUR,2018,585.75,
FARIDPUR,2019,612.96,4.64532650448144
FARIDPUR,2020,677.3599999999999,10.506395197076458
FARIDPUR,2021,737.77,8.918448092594788
