district,thana,deposits
nan,NASIR NAGAR,3732.7099999999996
nan,DUMKI,3730.0099999999998
nan,NANDIGRAM,3695.059999999999
nan,MOHANPUR,3694.380000000001
nan,NALITABARI,3692.4600000000005
nan,PIRGACHA,3690.09
nan,BHUJPUR,3684.9999999999995
nan,BIJOYNAGAR,3681.09
nan,ROWMARI,3658.4799999999996
nan,RUPSA,3630.04
nan,BETAGI,3611.2
nan,DACOPE,3602.45
nan,RAMGATI,3558.06
nan,KAPTAI,3553.9900000000002
nan,MOHONGANJ,3496.8999999999996
nan,RANISANKAIL,3451.75
nan,KARIMGANJ,3439.08
nan,SAGHATTA,3417.3199999999997
nan,DEBIGANJ,3405.2200000000003
nan,PALASHBARI,3388.5300000000007
nan,MAGLABAZAR,3365.5799999999995
nan,GOALANDA,3364.5200000000004
nan,BHANGURA,3345.25
nan,HAKIMPUR,3323.7300000000005
nan,MEGHNA,3303.3100000000004
nan,KAHALOO,3295.5899999999997
nan,BIROL,3277.2400000000002
nan,SADULLAPUR,3275.97
nan,CHITALMARI,3265.669999999999
nan,SARIAKANDI,3130.5099999999998
nan,KATHALIA,3106.7599999999998
nan,KAMARKANDA,3104.5999999999995
nan,CHARGHAT,3069.79
nan,KHOKSA,3055.0599999999995
nan,KENDUA,3044.33
nan,PABA,3036.49
nan,ATAIKULA,3017.68
nan,TARASH,2965.6600000000008
nan,FARIDPUR,2922.96
nan,DOMAR,2851.0799999999995
nan,KOYRA,2843.26
nan,KALUKHALI,2837.1499999999996
nan,HIJLA,2798.23
nan,NAKLA,2764.0699999999997
MANIKGANJ,DAULATPUR,2757.9300000000003
nan,DEWANGANJ,2744.6000000000004
nan,TAZUMUDDIN,2728.97
nan,KALAI,2721.5999999999995
nan,SREEBORDI,2699.7499999999995
nan,HAIMCHAR,2687.7200000000003
nan,TANORE,2668.09
nan,BADALGACHI,2588.98
HABIGANJ,AJMIRIGANJ,2541.6200000000003
nan,BAMNA,2512.96
nan,NACHOLE,2493.9900000000002
nan,GANGACHARA,2473.25
NILPHAMARI,DIMLA,2452.65
nan,DASHMINA,2413.86
JHENAIDAH,HARINAKUNDU,2395.7500000000005
nan,MADAN,2386.4599999999996
nan,MOLLAHAT,2382.9700000000003
nan,TARAIL,2368.7799999999997
nan,JAMALGANJ,2349.27
nan,BODA,2335.6200000000003
nan,RANI NAGAR,2327.0899999999997
nan,TARAKANDA,2319.59
CUMILLA,BANGORA,2295.0599999999995
nan,KAUNIA,2283.5400000000004
nan,LAMA,2261.2999999999997
nan,MITHAMON,2259.46
nan,TEROKHADA,2242.36
nan,KUTUBDIA,2235.69
nan,RAMGARH,2211.6300000000006
nan,ATGHORIA,2187.07
nan,HATIBANDHA,2185.7599999999998
nan,INDURKANI,2182.9400000000005
nan,KAHAROLE,2146.0600000000004
nan,NIKLI,2087.1900000000005
PANCHAGARH,ATWARI,2086.03
nan,RAJARHAT,2065.3
nan,DAKSHIN SUNAMGANJ,2053.88
nan,PORSHA,2044.31
nan,BARHATTA,2014.15
nan,KALMAKANDA,2004.67
nan,TARAGANJ,2000.2600000000007
nan,DHAMOIRHAT,1980.01
KISHOREGANJ,ASTAGRAM,1900.81
nan,GHORAGHAT,1846.19
THAKURGAON,BALIADANGI,1821.86
nan,PUBAIL,1808.78
LALMONIRHAT,ADITMARI,1800.23
nan,TETULIA,1760.97
nan,DOWAR BAZAR,1731.4099999999999
SHERPUR,JHENAIGATI,1679.6200000000001
nan,CHILMARI,1664.9100000000003
PABNA,AMINPUR,1640.72
nan,HARAGACH,1625.58
nan,LAKHAI,1615.5299999999997
nan,AIRPORT,1614.1499999999999
nan,NAL DANGA,1605.7500000000002
nan,KHETLAL,1488.7699999999998
NETROKONA,ATPARA,1463.7300000000002
nan,KISHOREGANJ,1442.86
nan,MATIRANGA,1378.2100000000003
CHAPAINAWABGANJ,BHOLAHAT,1378.06
nan,MUZIBNAGAR,1356.4199999999998
GAIBANDAH,FULCHHARI,1333.24
nan,DHOBAURA,1319.91
nan,DHARMAPASHA,1300.33
KHAGRACHARI,DIGHINALA,1297.8800000000003
nan,ITNA,1287.59
nan,HARIPUR,1265.9
nan,HARINTANA,1264.65
nan,SUBARNACHAR,1232.98
nan,KHANSHAMA,1198.58
nan,KATAKHALI,1172.49
RANGAMATI,BAGHAICHARI,1129.1299999999999
nan,TAHIRPUR,1125.7
nan,DIGHALIA,1089.2800000000002
RAJSHAHI,AIRPORT,1043.1100000000001
nan,SALDA,1015.72
SUNAMGANJ,BISHWAMVARPUR,1012.0300000000001
nan,MONPURA,972.68
nan,NAIKHANGCHARI,894.8
nan,PAGLA,866.6399999999999
nan,PANCHARI,865.1700000000001
nan,MOHIPUR,854.6000000000001
nan,TALTOLI,847.76
nan,MANIKCHARI,832.6599999999999
nan,SALLA,790.8200000000002
nan,TAJHAT,787.76
nan,KALIAJURI,787.2199999999999
BANDARBAN,ALI KADAM,713.15
nan,RAJIBPUR,697.68
nan,RANGABALI,677.9799999999999
nan,LABONCHORA,665.17
nan,MAHALCHARI,648.1600000000001
nan,NARAGATI,594.51
nan,LANGADU,571.0400000000001
nan,SAKHIPUR,544.8000000000001
nan,CHAR SHASIVUSON,466.52000000000004
nan,THANCHI,446.48
nan,RUMA,444.35
nan,RAJASTHALI,412.7300000000001
nan,MADHAYA NAGAR,388.61999999999995
nan,NANUERCHAR,351.49
nan,RUHIA,339.53
nan,BARKAL,328.52
nan,ROWANGCHARI,311.94
nan,BELAICHARI,298.7199999999999
nan,LAKSHMICHARI,295.03999999999996
nan,GUIMARA,293.88000000000005
nan,KORNOHAR,268.15
nan,CHANDRAGHONA,251.19
nan,JURAICHARI,250.54
nan,KAZIRHAT,236.56000000000006
nan,DARSHANA,118.25
