district,thana,year,quarter,deposits
BARISHAL,AGAILJHARA,2021,Q1,267.4
BARISHAL,AGAILJHARA,2021,Q2,281.7
BARISHAL,AGAILJHARA,2021,Q3,285.6
BARISHAL,AGAILJHARA,2022,Q1,301.23
BARISHAL,AGAILJHARA,2022,Q2,303.03
BARISHAL,AGAILJHARA,2022,Q3,310.29
BARISHAL,AGAILJHARA,2023,Q1,321.36
BARISHAL,AGAILJHARA,2023,Q2,330.31
BARISHAL,AGAILJHARA,2024,,331.26
nan,AIRPORT,2018,Q1,64.54
nan,AIRPORT,2018,Q2,62.51
nan,AIRPORT,2018,Q3,66.05
nan,AIRPORT,2019,Q1,69.09
nan,AIRPORT,2019,Q2,71.48
nan,AIRPORT,2019,Q3,75.36
nan,AIRPORT,2020,Q1,83.54
nan,AIRPORT,2020,Q2,87.91
nan,AIRPORT,2020,Q3,88.73
nan,AIRPORT,2021,Q1,98.27
nan,AIRPORT,2021,Q2,96.17
nan,AIRPORT,2021,Q3,98.29
nan,AIRPORT,2022,Q1,87.09
nan,AIRPORT,2022,Q2,95.48
nan,AIRPORT,2022,Q3,96.35
nan,AIRPORT,2023,Q1,118.01
nan,AIRPORT,2023,Q2,122.99
nan,AIRPORT,2024,,132.29
nan,BABUGANJ,2018,Q1,195.76
nan,BABUGANJ,2018,Q2,190.99
nan,BABUGANJ,2018,Q3,196.37
nan,BABUGANJ,2019,Q1,235.48
nan,BABUGANJ,2019,Q2,216.19
nan,BABUGANJ,2019,Q3,227.16
nan,BABUGANJ,2020,Q1,238.57
nan,BABUGANJ,2020,Q2,245.32
nan,BABUGANJ,2020,Q3,258.11
nan,BABUGANJ,2021,Q1,274.43
nan,BABUGANJ,2021,Q2,276.81
nan,BABUGANJ,2021,Q3,292.38
nan,BABUGANJ,2022,Q1,462.11
nan,BABUGANJ,2022,Q2,331.2
nan,BABUGANJ,2022,Q3,338.56
nan,BABUGANJ,2023,Q1,364.49
nan,BABUGANJ,2023,Q2,388.45
nan,BABUGANJ,2024,,383.98
nan,BAKERGANJ,2018,Q1,440.13
nan,BAKERGANJ,2018,Q2,428.93
nan,BAKERGANJ,2018,Q3,431.91
nan,BAKERGANJ,2019,Q1,454.03
nan,BAKERGANJ,2019,Q2,462.81
nan,BAKERGANJ,2019,Q3,473.87
nan,BAKERGANJ,2020,Q1,562.75
nan,BAKERGANJ,2020,Q2,608.88
nan,BAKERGANJ,2020,Q3,587.06
nan,BAKERGANJ,2021,Q1,593.49
nan,BAKERGANJ,2021,Q2,606.66
nan,BAKERGANJ,2021,Q3,620.26
nan,BAKERGANJ,2022,Q1,645.67
nan,BAKERGANJ,2022,Q2,724.86
nan,BAKERGANJ,2022,Q3,703.85
nan,BAKERGANJ,2023,Q1,709.8
nan,BAKERGANJ,2023,Q2,726.13
nan,BAKERGANJ,2024,,728.98
nan,BANARIPARA,2018,Q1,305.66
nan,BANARIPARA,2018,Q2,303.03
nan,BANARIPARA,2018,Q3,316.07
nan,BANARIPARA,2019,Q1,327.44
nan,BANARIPARA,2019,Q2,328.35
nan,BANARIPARA,2019,Q3,343.18
nan,BANARIPARA,2020,Q1,353.87
nan,BANARIPARA,2020,Q2,359.36
nan,BANARIPARA,2020,Q3,372.87
nan,BANARIPARA,2021,Q1,390.07
nan,BANARIPARA,2021,Q2,402.16
nan,BANARIPARA,2021,Q3,417.2
nan,BANARIPARA,2022,Q1,443.35
nan,BANARIPARA,2022,Q2,461.24
nan,BANARIPARA,2022,Q3,458.29
nan,BANARIPARA,2023,Q1,512.47
nan,BANARIPARA,2023,Q2,531.35
nan,BANARIPARA,2024,,515.84
nan,GOURANADI,2018,Q1,816.85
nan,GOURANADI,2018,Q2,800.72
nan,GOURANADI,2018,Q3,825.71
nan,GOURANADI,2019,Q1,836.15
nan,GOURANADI,2019,Q2,857.57
nan,GOURANADI,2019,Q3,892.89
nan,GOURANADI,2020,Q1,925.01
nan,GOURANADI,2020,Q2,982.76
nan,GOURANADI,2020,Q3,1030.55
nan,GOURANADI,2021,Q1,1065.03
nan,GOURANADI,2021,Q2,1106.39
nan,GOURANADI,2021,Q3,1109.08
nan,GOURANADI,2022,Q1,1236.72
nan,GOURANADI,2022,Q2,1209.59
nan,GOURANADI,2022,Q3,1203.25
nan,GOURANADI,2023,Q1,1296.9
nan,GOURANADI,2023,Q2,1360.66
nan,GOURANADI,2024,,1337.44
nan,HIJLA,2018,Q1,131.33
nan,HIJLA,2018,Q2,105.88
nan,HIJLA,2018,Q3,100.81
nan,HIJLA,2019,Q1,112.53
nan,HIJLA,2019,Q2,117.93
nan,HIJLA,2019,Q3,114.75
nan,HIJLA,2020,Q1,122.35
nan,HIJLA,2020,Q2,126.51
nan,HIJLA,2020,Q3,126.57
nan,HIJLA,2021,Q1,136.77
nan,HIJLA,2021,Q2,159.91
nan,HIJLA,2021,Q3,156.02
nan,HIJLA,2022,Q1,413.29
nan,HIJLA,2022,Q2,168.06
nan,HIJLA,2022,Q3,160.06
nan,HIJLA,2023,Q1,185.06
nan,HIJLA,2023,Q2,184.06
nan,HIJLA,2024,,176.34
nan,KAZIRHAT,2018,Q1,3.1
nan,KAZIRHAT,2018,Q2,4.25
nan,KAZIRHAT,2018,Q3,4.45
